Episodes,Episodic Return,Scores,Epsilon
1,-4,0,1.0
2,-1,0,0.9278424754944854
3,-6,0,0.8608916593317348
4,0,0,0.7987718483269121
5,2,0,0.7411344491069477
6,1,0,0.6876560219336321
7,-3,0,0.6380364656795914
8,-2,0,0.5919973337719043
9,-3,0,0.5492802716530589
10,-5,0,0.5096455669908576
11,12,1,0.4728708045015879
12,-3,0,0.43874961783782224
13,-3,0,0.4070905315369044
14,0,0,0.37771588653156724
15,1,0,0.3504608431930435
16,-9,0,0.32517245631211816
17,-6,0,0.30170881682725814
18,-1,0,0.2799382554835155
19,-5,0,0.25973860395343273
20,-8,0,0.24099650927363475
21,-5,0,0.223606797749979
22,0,0,0.20747188476173523
23,3,0,0.19250122715283505
24,-5,0,0.17861081513721272
25,-3,0,0.16572270086699933
26,-5,0,0.15376456101806876
27,-3,0,0.14266929093832778
28,-5,0,0.132374628081261
29,13,1,0.12282280261157903
30,-7,0,0.11396021322229805
31,-5,0,0.10573712634405641
32,-5,0,0.09810739705874247
33,-5,0,0.09102821015130401
34,1,0,0.08445983984661817
35,-5,0,0.07836542688315398
36,7,1,0.07271077167244769
37,-1,0,0.06746414238367818
38,-5,0,0.06259609687638439
39,-5,0,0.05807931748207712
40,-5,0,0.05388845770760058
41,-1,0,0.05000000000000001
42,-3,0,0.04639212377472428
43,1,0,0.043044582966586746
44,-5,0,0.03993859241634561
45,-5,0,0.03705672245534739
46,-5,0,0.03438280109668161
47,-5,0,0.03190182328397958
48,-5,0,0.029599866688595225
49,-5,0,0.02746401358265294
50,-5,0,0.025482278349542874
